Area,Country,Area Code,Split_Year,What_happened,Country_split_(by_area_code),Percentages,Year,Barley,Maize,Potatoes,Rice_paddy,Sugar_beet,Sugar_cane,Sunflower_seed,Wheat,Rye,Soybeans,Rapeseed,Maize_green,Oil_palm_fruit
Armenia,ARM,1,,,,,2018.0,124167.0,7615.0,415050.0,,54173.0,,,187453.0,842.0,,,,
Afghanistan,AFG,2,,,,,2018.0,56781.0,106670.0,615684.0,352177.0,5363.0,25421.0,387.0,3613300.0,,,,,
Albania,ALB,3,,,,,2018.0,9655.0,391104.0,254543.0,0.0,27485.0,,846.0,240294.0,2250.0,744.0,,,
Algeria,DZA,4,,,,,2018.0,1957327.0,4142.0,4653322.0,313.0,,,88.0,3981219.0,,,22630.0,,
American Samoa,ASM,5,,,,,2018.0,,,,,,30.0,,,,,,34.0,
Angola,AGO,7,,,,,2018.0,,2271102.0,806552.0,56441.0,,572948.0,12089.0,2820.0,,11557.0,,,280500.0
Antigua and Barbuda,ATG,8,,,,,2018.0,,75.0,,,,,,,,,,,
Argentina,ARG,9,,,,,2018.0,5061069.0,43462323.0,2340103.0,1367968.0,,19039561.0,3537545.0,18518045.0,86098.0,37787927.0,35449.0,,
Australia,AUS,10,,,,,2018.0,9253852.0,387240.0,1188655.0,635113.0,,33506830.0,31000.0,20941134.0,30762.0,63000.0,3893071.0,97224.0,
Austria,AUT,11,,,,,2018.0,695072.0,2130339.0,697931.0,,2150192.0,,60304.0,1370960.0,177447.0,184342.0,120690.0,13288.0,
Bahamas,BHS,12,,,,,2018.0,,742.0,,,,57360.0,,,,,,,
Bahrain,BHR,13,,,,,2018.0,,,68.0,,,,,,,,,,
Barbados,BRB,14,,,,,2018.0,,109.0,,,,146831.0,,,,,,656.0,
Bangladesh,BGD,16,,,,,2018.0,244.0,3288102.0,9744412.0,56417319.0,,3638731.0,,1099373.0,,98699.0,351537.0,,
Bermuda,BMU,17,,,,,2018.0,,,925.0,,,,,,,,,,
Bhutan,BTN,18,,,,,2018.0,1994.0,92949.0,56792.0,88753.0,,415.0,14.0,4141.0,,226.0,,,
Bolivia (Plurinational State of),BOL,19,,,,,2018.0,46620.0,1260926.0,1160940.0,541157.0,,9616440.0,121177.0,301689.0,275.0,2942131.0,,25215.0,
Botswana,BWA,20,,,,,2018.0,,13126.0,,,,,908.0,,,,,,
Brazil,BRA,21,,,,,2018.0,330374.0,82288298.0,3688029.0,11749192.0,,746828157.0,135872.0,5418711.0,8297.0,117887672.0,45000.0,,1565197.0
Belize,BLZ,23,,,,,2018.0,,77766.0,1540.0,13375.0,,1707537.0,,,,11776.0,,,
Solomon Islands,SLB,25,,,,,2018.0,,,,2737.0,,,,,,,,,258345.0
Brunei Darussalam,BRN,26,,,,,2018.0,,,,1569.0,,,,,,,,41.0,
Bulgaria,BGR,27,,,,,2018.0,437507.0,3478013.0,261594.0,63415.0,,,1927040.0,5832449.0,13776.0,4548.0,471035.0,3507.0,
Myanmar,MMR,28,,,,,2018.0,,1983122.0,512443.0,25418142.0,,10659222.0,362492.0,134372.0,,170985.0,,,
Burundi,BDI,29,,,,,2018.0,,290498.0,302665.0,55671.0,,178439.0,,22751.0,,2387.0,,,85974.0
Cameroon,CMR,32,,,,,2018.0,,2344665.0,302706.0,332534.0,,1287002.0,,938.0,,20824.0,,,2641118.0
Canada,CAN,33,,,,,2018.0,8379700.0,13884800.0,5790838.0,,505117.0,,57300.0,31769200.0,236400.0,7266600.0,20342600.0,190326.0,
Cabo Verde,CPV,35,,,,,2018.0,,3893.0,2200.0,,,22940.0,,,,,,,
Central African Republic,CAF,37,,,,,2018.0,,86976.0,1448.0,11108.0,,107646.0,,,,,,,5605.0
Sri Lanka,LKA,38,,,,,2018.0,,270041.0,88897.0,3929831.0,,644785.0,,,,2500.0,,,
Chad,TCD,39,,,,,2018.0,,437898.0,41583.0,259540.0,,475073.0,,1798.0,,,,,
Chile,CHL,40,,,,,2018.0,170652.0,1110608.0,1183357.0,192808.0,2374496.0,,8301.0,1469003.0,4300.0,,219781.0,142848.0,
"China, mainland",CHN,41,,,,,2018.0,1487906.0,257348659.0,90321442.0,214078796.0,12077618.0,108718971.0,2550000.0,131447224.0,1044776.0,14193621.0,13281208.0,106884.0,672760.0
Colombia,COL,44,,,,,2018.0,11001.0,1388246.0,3107580.0,3322937.0,29615.0,36276860.0,,11139.0,,77000.0,,,5878504.0
Comoros,COM,45,,,,,2018.0,,7014.0,600.0,31340.0,,,,,,,,,
Congo,COG,46,,,,,2018.0,,11928.0,5900.0,1196.0,,718214.0,,,,,,,146620.0
Costa Rica,CRI,48,,,,,2018.0,,5358.0,93567.0,158311.0,,4421210.0,,,,,,,1087800.0
Cuba,CUB,49,,,,,2018.0,,345909.0,135147.0,460870.0,,19648340.0,,,,,,,
Cyprus,CYP,50,,,,,2018.0,18679.0,,106452.0,,,,,18054.0,,,,,
Azerbaijan,AZE,52,,,,,2018.0,916036.0,247939.0,898914.0,11975.0,277217.0,,23586.0,1991683.0,680.0,41.0,,,
Benin,BEN,53,,,,,2018.0,,1509758.0,60.0,459313.0,,11602.0,,,,221977.0,,,598522.0
Denmark,DNK,54,,,,,2018.0,3485656.0,35923.0,1806766.0,,2107616.0,,,2654819.0,482166.0,,489124.0,,
Dominica,DMA,55,,,,,2018.0,,191.0,136.0,,,4917.0,,,,,,,
Dominican Republic,DOM,56,,,,,2018.0,,44590.0,88557.0,627362.0,,5277574.0,,,,,,,442450.0
Belarus,BLR,57,,,,,2018.0,944341.0,1137932.0,5865123.0,,4806259.0,,1068.0,1814765.0,502505.0,,456189.0,,
Ecuador,ECU,58,,,,,2018.0,13674.0,1324147.0,269201.0,1350093.0,4636.0,7502251.0,274.0,5398.0,79.0,25504.0,,,2785756.0
Egypt,EGY,59,,,,,2018.0,113838.0,7300000.0,4896476.0,4900000.0,11222720.0,15242687.0,19000.0,8800000.0,94436.0,48000.0,,,
El Salvador,SLV,60,,,,,2018.0,,685509.0,10597.0,22764.0,,7046001.0,,,,5694.0,,29393.0,
Equatorial Guinea,GNQ,61,,,,,2018.0,,,,,,,,,,,,,36059.0
Estonia,EST,63,,,,,2018.0,347497.0,,88434.0,,,,,450265.0,29511.0,,113595.0,,
Fiji,FJI,66,,,,,2018.0,,1208.0,24.0,7051.0,,1383084.0,,,,,,,
Finland,FIN,67,,,,,2018.0,1336100.0,,600300.0,,355400.0,,,494700.0,42300.0,,70900.0,,
France,FRA,68,,,,,2018.0,11193034.0,12667393.0,7870973.0,73306.0,39579925.0,2273517.0,1247936.0,35798234.0,110092.0,400292.0,4945589.0,455595.0,
French Guyana,GUF,69,,,,,2018.0,,417.0,,2853.0,,8100.0,,,,,,,
French Polynesia,PYF,70,,,,,2018.0,,,579.0,,,3517.0,,,,,,,
Djibouti,DJI,72,,,,,2018.0,,18.0,,,,53.0,,,,,,,
Georgia,GEO,73,,,,,2018.0,57700.0,194200.0,237500.0,,,,3000.0,107100.0,95.0,2000.0,,,
Gabon,GAB,74,,,,,2018.0,,46006.0,,1830.0,,294448.0,,,,4057.0,,,21000.0
Gambia,GMB,75,,,,,2018.0,,39383.0,,53809.0,,,,,,,,,35066.0
Germany,DEU,79,,,,,2018.0,9583600.0,3344000.0,8920800.0,,26191400.0,,31000.0,20263500.0,2201400.0,59000.0,3670600.0,,
Bosnia and Herzegovina,BIH,80,,,,,2018.0,79060.0,1272339.0,394274.0,,688.0,,451.0,295810.0,11409.0,23332.0,9813.0,734.0,
Ghana,GHA,81,,,,,2018.0,,2306384.0,,769401.0,,152499.0,,,,152023.0,,,2604387.0
Greece,GRC,84,,,,,2018.0,344610.0,1205980.0,465770.0,222690.0,353078.0,,217424.0,1072940.0,18960.0,9490.0,16438.0,632588.0,
Grenada,GRD,86,,,,,2018.0,,365.0,,,,7303.0,,,,,,,
Guadeloupe,GLP,87,,,,,2018.0,,,,,,669573.0,,,,,,,
Guam,GUM,88,,,,,2018.0,,56.0,,,,,,,,,,,
Guatemala,GTM,89,,,,,2018.0,17.0,1921936.0,564314.0,31498.0,,35568207.0,,1282.0,,38000.0,,,2308262.0
Guinea,GIN,90,,,,,2018.0,,818544.0,151326.0,2339747.0,,311561.0,,,,,,296923.0,844875.0
Guyana,GUY,91,,,,,2018.0,,4284.0,,964472.0,,1214495.0,,,,,,,
Haiti,HTI,93,,,,,2018.0,,260000.0,34475.0,183000.0,,1502415.0,,,,,,,
Honduras,HND,95,,,,,2018.0,,704747.0,26904.0,59698.0,,5526000.0,,1248.0,,982.0,,,2493910.0
"China, Hong Kong SAR",HKG,96,,,,,2018.0,,,,0.0,,,,,,,,,
Hungary,HUN,97,,,,,2018.0,1141007.0,7963217.0,330545.0,11971.0,941655.0,,1832212.0,5245890.0,84116.0,178200.0,999711.0,506370.0,
Croatia,HRV,98,,,,,2018.0,227520.0,2147275.0,182261.0,,776491.0,,110790.0,744405.0,4100.0,245188.0,155842.0,1038705.0,
Iceland,ISL,99,,,,,2018.0,3900.0,,6020.0,,,,,,,,,,
India,IND,100,,,,,2018.0,1780000.0,27820000.0,48529000.0,172580000.0,,376900000.0,200000.0,99700000.0,,13786000.0,8430000.0,,
Indonesia,IDN,101,2002.0,Timor Leste gained independence from IDN,"101,176","0.999,0.001",2018.0,,30253938.0,1284762.0,83037000.0,,21744000.0,,,,953571.0,,590000.0,115267491.0
Iran (Islamic Republic of),IRN,102,,,,,2018.0,2800000.0,1338258.0,5321188.0,1990000.0,4901592.0,8114804.0,40000.0,14500000.0,457.0,210000.0,139946.0,,
Iraq,IRQ,103,,,,,2018.0,571283.0,209059.0,294778.0,274788.0,30044.0,10280.0,733.0,3211382.0,,29.0,,,
Ireland,IRL,104,,,,,2018.0,1224900.0,,273000.0,,78597.0,,,506800.0,635.0,,40900.0,,
Israel,ISR,105,,,,,2018.0,8750.0,81930.0,511163.0,,,,10500.0,70500.0,,,,74929.0,
Italy,ITA,106,,,,,2018.0,1010328.0,6179035.0,1307598.0,1512241.0,1941479.0,,248847.0,6932943.0,10639.0,1138993.0,39159.0,,
Kazakhstan,KAZ,108,,,,,2018.0,3971266.0,862094.0,3806992.0,482945.0,504541.0,,847705.0,13944108.0,22520.0,255437.0,394341.0,874.0,
Jamaica,JAM,109,,,,,2018.0,,2177.0,16184.0,0.0,,1028400.0,,,,,,48.0,
Japan,JPN,110,,,,,2018.0,174700.0,165.0,2261945.0,9727500.0,3611000.0,1217298.0,,764900.0,,211300.0,3120.0,223884.0,
Jordan,JOR,112,,,,,2018.0,35173.0,21914.0,177431.0,,,,,20668.0,,0.0,,,
Kyrgyzstan,KGZ,113,,,,,2018.0,429306.0,692877.0,1446610.0,40783.0,773034.0,,19851.0,615926.0,1109.0,2872.0,48.0,,
Kenya,KEN,114,,,,,2018.0,78089.0,4013777.0,1870375.0,110325.0,,5262157.0,11584.0,336600.0,,2304.0,,,
Cambodia,KHM,115,,,,,2018.0,,604333.0,,10647212.0,,594252.0,,,,170000.0,,,160000.0
Democratic People's Republic of Korea,PRK,116,,,,,2018.0,22000.0,1876000.0,2500000.0,2088000.0,,,,35000.0,65250.0,135000.0,,,
Republic of Korea,KOR,117,,,,,2018.0,102702.0,74368.0,553596.0,5195437.0,,,,37577.0,4.0,89410.0,916.0,,
Kuwait,KWT,118,,,,,2018.0,2338.0,8869.0,36212.0,,,,,9.0,,,,,
Latvia,LVA,119,,,,,2018.0,306300.0,,426900.0,,0.0,,,1431600.0,81600.0,,229600.0,,
Lao People's Democratic Republic,LAO,120,,,,,2018.0,,981680.0,2160.0,3584700.0,,1834525.0,,,,8380.0,,,
Lebanon,LBN,121,,,,,2018.0,31446.0,3288.0,387791.0,,4002.0,91.0,,135411.0,,,,,
Liberia,LBR,123,,,,,2018.0,,,,257995.0,,275277.0,,,,3290.0,,27122.0,176000.0
Libya,LBY,124,,,,,2018.0,93208.0,3571.0,348361.0,,,,,138770.0,,,,,
Lithuania,LTU,126,,,,,2018.0,619538.0,87587.0,296229.0,,888616.0,,,2838899.0,43992.0,,433518.0,,
Madagascar,MDG,129,,,,,2018.0,,215000.0,257379.0,4030000.0,,3142902.0,,6322.0,,44.0,,,21093.0
Malawi,MWI,130,,,,,2018.0,,2697959.0,1125874.0,112313.0,,3024743.0,20312.0,729.0,,175475.0,,,
Malaysia,MYS,131,,,,,2018.0,,76362.0,,2718987.0,,29433.0,,,,,,,98419400.0
Maldives,MDV,132,,,,,2018.0,,147.0,,,,,,,,,,,
Mali,MLI,133,,,,,2018.0,,3624950.0,310902.0,3167528.0,11955.0,366160.0,,29185.0,,6693.0,,,
Malta,MLT,134,,,,,2018.0,2186.0,,7977.0,,,,,12208.0,,,,,
Martinique,MTQ,135,,,,,2018.0,,,,,,198102.0,,,,,,,
Mauritania,MRT,136,,,,,2018.0,1535.0,15519.0,2260.0,232196.0,,,,7349.0,,,,,
Mauritius,MUS,137,,,,,2018.0,,387.0,17033.0,19.0,,3154516.0,,,,,,387.0,
Mexico,MEX,138,,,,,2018.0,1008642.0,27169977.0,1802592.0,283763.0,878.0,56841523.0,9751.0,2943445.0,9.0,324011.0,5000.0,1058980.0,983676.0
Mongolia,MNG,141,,,,,2018.0,2355.0,,168883.0,,,,,436115.0,,,11199.0,,
Montserrat,MSR,142,,,,,2018.0,,138.0,219.0,,,,,,,,,,
Morocco,MAR,143,,,,,2018.0,2851022.0,118392.0,1869149.0,63037.0,3710514.0,616114.0,37602.0,7320620.0,2363.0,732.0,2124.0,,
Mozambique,MOZ,144,,,,,2018.0,,1654143.0,273335.0,134105.0,,3072851.0,9674.0,21105.0,,,,,
Micronesia (Federated States of),FSM,145,,,,,2018.0,,93.0,,177.0,,,,,,,,,
Republic of Moldova,MDA,146,,,,,2018.0,175296.0,2073775.0,174774.0,,707137.0,,788726.0,1162778.0,906.0,57684.0,85607.0,4435.0,
Namibia,NAM,147,,,,,2018.0,,59253.0,14520.0,,,,68.0,6094.0,,,,,
Nepal,NPL,149,,,,,2018.0,30510.0,2473283.0,3088000.0,5151925.0,,3558182.0,,1949001.0,,27681.0,,,
Netherlands,NLD,150,,,,,2018.0,253423.0,84894.0,6029734.0,,6508142.0,,,985297.0,4457.0,,5836.0,,
New Caledonia,NCL,153,,,,,2018.0,,10184.0,2510.0,,,,,4.0,,,,,
North Macedonia,MKD,154,,,,,2018.0,130028.0,190722.0,181931.0,19732.0,7832.0,,3379.0,241106.0,9379.0,20.0,4895.0,82.0,
Vanuatu,VUT,155,,,,,2018.0,,917.0,,,,,,,,,,,
New Zealand,NZL,156,,,,,2018.0,379704.0,191993.0,511776.0,,,,,371027.0,,,2795.0,75452.0,
Nicaragua,NIC,157,,,,,2018.0,,395226.0,66167.0,365000.0,,7224366.0,,,,10000.0,,,300000.0
Niger,NER,158,,,,,2018.0,,29536.0,168569.0,101607.0,,258091.0,,4807.0,,,,,
Nigeria,NGA,159,,,,,2018.0,,10155027.0,1363358.0,6809327.0,,1423086.0,,65433.0,,758033.0,,801490.0,7850000.0
Norway,NOR,162,,,,,2018.0,400000.0,,326400.0,,,,,123500.0,7600.0,,7100.0,165.0,
Pakistan,PAK,165,,,,,2018.0,55131.0,6308897.0,4591776.0,10802949.0,296404.0,67173975.0,147251.0,25076149.0,,29.0,260523.0,,
Panama,PAN,166,,,,,2018.0,,112446.0,23941.0,314946.0,,2931395.0,,,,88.0,,,46299.0
Czechia,CZE,167,,,,,2018.0,1606034.0,489154.0,583560.0,,3724309.0,,47594.0,4417841.0,120160.0,25259.0,1410769.0,,
Papua New Guinea,PNG,168,,,,,2018.0,,14333.0,1291.0,850.0,,237455.0,,,,,,241589.0,2496325.0
Paraguay,PRY,169,,,,,2018.0,,5344650.0,3851.0,894600.0,,6160000.0,48800.0,722400.0,,11045971.0,36000.0,,151986.0
Peru,PER,170,,,,,2018.0,207215.0,1569535.0,5121110.0,3557900.0,,10336178.0,,195088.0,89.0,1530.0,,434969.0,921001.0
Philippines,PHL,171,,,,,2018.0,,7771919.0,117423.0,19066094.0,,24730820.0,,,,658.0,,,500466.0
Poland,POL,173,,,,,2018.0,3048273.0,3864028.0,7478184.0,,14302911.0,,9663.0,9820315.0,2166884.0,10271.0,2203869.0,49963.0,
Portugal,PRT,174,,,,,2018.0,49584.0,713860.0,431686.0,160648.0,8506.0,5544.0,16948.0,67749.0,16706.0,,,,
Guinea-Bissau,GNB,175,,,,,2018.0,,7254.0,,171239.0,,6923.0,,,,,,,80500.0
Timor-Leste,TLS,176,,,,,2018.0,,101564.0,1167.0,86647.0,,,,,,1008.0,,,
Puerto Rico,PRI,177,,,,,2018.0,,102.0,,186.0,,,,,,,,584.0,
Eritrea,ERI,178,,,,,2018.0,68268.0,19914.0,135.0,,,,,28939.0,,,,,
Qatar,QAT,179,,,,,2018.0,237.0,1866.0,17.0,,,,,15.0,,,,1092.0,
Zimbabwe,ZWE,181,,,,,2018.0,55854.0,730437.0,60521.0,755.0,,3305073.0,18000.0,41488.0,,90000.0,,4809.0,
RÃƒÂ©union,REU,182,,,,,2018.0,,13770.0,4861.0,304.0,,1789347.0,,,,,,,
Romania,ROU,183,,,,,2018.0,1870710.0,18663939.0,3022758.0,43355.0,978266.0,,3062690.0,10143671.0,28636.0,465609.0,1610907.0,15355.0,
Rwanda,RWA,184,,,,,2018.0,,410280.0,847302.0,119932.0,,116473.0,,10875.0,,23804.0,,,
Russian Federation,RUS,185,,,,,2018.0,16991907.0,11419020.0,22394960.0,1038222.0,42065957.0,,12755725.0,72136149.0,1916056.0,4026850.0,1988697.0,,
Saint Kitts and Nevis,KNA,188,,,,,2018.0,,,0.0,,,,,,,,,,
Saint Lucia,LCA,189,,,,,2018.0,,,,,,,,,,,,,
Saint Vincent and the Grenadines,VCT,191,,,,,2018.0,,1030.0,,,,17286.0,,,,,,,
Sao Tome and Principe,STP,193,,,,,2018.0,,941.0,,,,,,,,,,,18497.0
Saudi Arabia,SAU,194,,,,,2018.0,624702.0,15394.0,482305.0,0.0,,,,586413.0,,,,,
Senegal,SEN,195,,,,,2018.0,,264105.0,79499.0,762776.0,,886195.0,,,,,,,139763.0
Sierra Leone,SLE,197,,,,,2018.0,,22981.0,,919785.0,,78432.0,,,,,,,254000.0
Slovenia,SVN,198,,,,,2018.0,88057.0,350489.0,72917.0,,,,791.0,121901.0,4542.0,5331.0,7657.0,,
Slovakia,SVK,199,,,,,2018.0,486898.0,1515834.0,169953.0,,1311972.0,,201614.0,1927926.0,41008.0,104525.0,480013.0,10312.0,
Singapore,SGP,200,,,,,2018.0,,,,,,,,,,,,,
Somalia,SOM,201,,,,,2018.0,,138716.0,,4766.0,,209291.0,,1033.0,,,,,
South Africa,ZAF,202,,,,,2018.0,421500.0,12510000.0,2467724.0,3026.0,,19301688.0,862000.0,1868000.0,1742.0,1540000.0,103950.0,388551.0,
Spain,ESP,203,,,,,2018.0,9129535.0,3842519.0,2010933.0,808167.0,2870907.0,1091.0,950346.0,7989906.0,388467.0,4249.0,175231.0,,
Suriname,SUR,207,,,,,2018.0,,85.0,,273916.0,,125973.0,,,,7.0,,,1200.0
Tajikistan,TJK,208,,,,,2018.0,108817.0,237355.0,964644.0,90446.0,,,10970.0,778986.0,351.0,26.0,277.0,,
Eswatini,SWZ,209,,,,,2018.0,,91247.0,8520.0,83.0,,5596146.0,,713.0,,,,,
Sweden,SWE,210,,,,,2018.0,1094400.0,,720200.0,,1698400.0,,,1620300.0,88200.0,,217800.0,,
Switzerland,CHE,211,,,,,2018.0,182120.0,134834.0,417156.0,,1625460.0,,13079.0,497250.0,10112.0,5206.0,81148.0,1025.0,
Syrian Arab Republic,SYR,212,,,,,2018.0,390000.0,118000.0,540000.0,0.0,65300.0,1.0,6000.0,1200000.0,,300.0,,,
Turkmenistan,TKM,213,,,,,2018.0,18969.0,40000.0,293533.0,130000.0,243386.0,,,1000000.0,,,,,
United Republic of Tanzania,TZA,215,,,,,2018.0,12422.0,5986905.0,1768154.0,3016695.0,,3051792.0,930000.0,104870.0,,5993.0,,60078.0,76206.0
Thailand,THA,216,,,,,2018.0,28288.0,5004125.0,125106.0,32192087.0,,104360867.0,25000.0,1351.0,,56000.0,,304833.0,15400000.0
Togo,TGO,217,,,,,2018.0,,886630.0,,145489.0,,,,,,1559.0,,,156156.0
Trinidad and Tobago,TTO,220,,,,,2018.0,,2781.0,,586.0,,,,,,,,603.0,
Oman,OMN,221,,,,,2018.0,1661.0,8827.0,15613.0,,,1190.0,,3579.0,,,,,
Tunisia,TUN,222,,,,,2018.0,700000.0,,423800.0,,76556.0,,7430.0,1500000.0,,,3964.0,,
Turkey,TUR,223,,,,,2018.0,7000000.0,5700000.0,4550000.0,940000.0,18900000.0,,1949229.0,20000000.0,320000.0,140000.0,125000.0,,
United Arab Emirates,ARE,225,,,,,2018.0,114.0,8942.0,451.0,,,,,,,,,,
Uganda,UGA,226,,,,,2018.0,,2964017.0,162151.0,260786.0,,3976810.0,245000.0,23597.0,,29000.0,,,
United Kingdom of Great Britain and Northern Ireland,GBR,229,,,,,2018.0,6510000.0,,5028000.0,,7620000.0,,,13555000.0,95366.0,,2012000.0,,
Ukraine,UKR,230,,,,,2018.0,7349140.0,35801050.0,22503970.0,69210.0,13967700.0,,14165170.0,24652840.0,393780.0,4460770.0,2750600.0,58660.0,
United States of America,USA,231,,,,,2018.0,3332970.0,392450840.0,20607342.0,10170040.0,30068647.0,31335984.0,959990.0,51286540.0,214180.0,123664230.0,1644170.0,3323910.0,
Burkina Faso,BFA,233,,,,,2018.0,,1700127.0,1416.0,160949.0,,490208.0,,,,31314.0,,,
Uruguay,URY,234,,,,,2018.0,637800.0,816000.0,87000.0,1360000.0,,350544.0,0.0,440000.0,,1334000.0,90700.0,836.0,
Uzbekistan,UZB,235,,,,,2018.0,111760.0,413165.0,2911933.0,221089.0,,,26672.0,5410760.0,7078.0,11399.0,1314.0,,
Venezuela (Bolivarian Republic of),VEN,236,,,,,2018.0,,1318418.0,371744.0,494549.0,23766.0,4166916.0,12011.0,144.0,,6000.0,,,462728.0
Viet Nam,VNM,237,,,,,2018.0,,4874054.0,376377.0,44046250.0,,17945204.0,,,,81348.0,,,
Ethiopia,ETH,238,,,,,2018.0,2101375.0,7360201.0,743153.0,144200.0,,1474881.0,,4238836.0,,98000.0,60757.0,,
Wallis and Futuna Islands,WLF,243,,,,,2018.0,,,,,,21.0,,,,,,65.0,
Samoa,WSM,244,,,,,2018.0,,,,,,12.0,,,,,,30.0,
Yemen,YEM,249,,,,,2018.0,19667.0,42986.0,248889.0,,,0.0,,105503.0,,,,,
Democratic Republic of the Congo,COD,250,,,,,2018.0,1085.0,2078352.0,101398.0,990139.0,,2359258.0,,6309.0,,25772.0,,,1192783.0
Zambia,ZMB,251,,,,,2018.0,8767.0,2394907.0,13546.0,43063.0,,4460780.0,47594.0,114463.0,,302720.0,,,
Belgium,BEL,255,,,,,2018.0,320395.0,442995.0,3045443.0,,5192049.0,,,1652249.0,2319.0,,42834.0,,
Luxembourg,LUX,256,,,,,2018.0,34662.0,565.0,16211.0,,,,,78409.0,6048.0,,10951.0,,
Serbia,SRB,272,,,,,2018.0,410138.0,6964770.0,487909.0,,2325303.0,,733706.0,2941601.0,13418.0,645607.0,135422.0,31179.0,
Montenegro,MNE,273,,,,,2018.0,1082.0,2743.0,26098.0,,,,,2467.0,445.0,,,,
Sudan,SDN,276,,,,,2018.0,,45000.0,442988.0,30000.0,,5902741.0,108000.0,595000.0,,,,,
South Sudan,SSD,277,,,,,2018.0,,90000.0,,,,,52667.0,,,,,,
Palestine,PSE,299,,,,,2018.0,14961.0,,57315.0,,,,3.0,34167.0,,,,8837.0,
